#,"Date Time, GMT-07:00",       Battery,   Temperature_C,  Dissolved Oxygen_mg/l,  Dissolved Oxygen Saturation_%,             Q,Site,Elevation,Tide_ft,,Note:,Site is at a -2ft.  Filter out for DO at -.5 or 0ft' due to location of DO unit in flip bag
1,7/30/2023 8:29,3.53,19.539,7.676197,98.735459,0.923,Eld,Low,0.42,,,
2,7/30/2023 8:44,3.53,18.634,7.794323,98.555208,0.924,Eld,Low,-0.17,,,
3,7/30/2023 8:59,3.52,21.077,7.481173,99.009393,0.926,Eld,Low,-0.71,,,
4,7/30/2023 9:14,3.52,24.066,7.21468,100.733296,0.928,Eld,Low,-1.18,,,
5,7/30/2023 9:29,3.52,26.849,6.971438,102.106611,0.929,Eld,Low,-1.59,,,
6,7/30/2023 9:44,3.52,29.154,6.750431,102.732576,0.928,Eld,Low,-1.91,,,
7,7/30/2023 9:59,3.52,30.86,6.584604,103.023303,0.928,Eld,Low,-2.16,,,
8,7/30/2023 10:14,3.52,32.173,6.449716,103.051324,0.926,Eld,Low,-2.31,,,
9,7/30/2023 10:29,3.52,33.156,6.332038,102.753475,0.923,Eld,Low,-2.38,,,
10,7/30/2023 10:44,3.52,34.208,6.242836,102.98644,0.922,Eld,Low,-2.36,,,
11,7/30/2023 10:59,3.52,35.269,6.123214,102.687768,0.918,Eld,Low,-2.24,,,
12,7/30/2023 11:14,3.53,35.609,6.080309,102.503936,0.916,Eld,Low,-2.04,,,
13,7/30/2023 11:29,3.52,36.42,6.021839,102.789513,0.913,Eld,Low,-1.75,,,
14,7/30/2023 11:44,3.52,36.41,6.058881,103.405981,0.913,Eld,Low,-1.39,,,
15,7/30/2023 11:59,3.53,36.429,6.144396,104.895946,0.913,Eld,Low,-0.95,,,
16,7/30/2023 12:14,3.53,36.41,6.089939,103.936042,0.913,Eld,Low,-0.45,,,
17,7/30/2023 12:29,3.55,27.662,7.034018,104.438485,0.922,Eld,Low,0.11,,,
18,7/30/2023 12:44,3.55,22.904,15.080236,206.275372,0.921,Eld,Low,0.72,,,
19,7/30/2023 12:59,3.56,20.943,15.031189,198.441799,0.924,Eld,Low,1.37,,,
20,7/30/2023 13:14,3.56,20.008,14.878193,193.056245,0.928,Eld,Low,2.05,,,
21,7/30/2023 13:29,3.56,19.815,14.857655,192.097122,0.93,Eld,Low,2.76,,,
22,7/30/2023 13:44,3.56,19.238,14.326844,183.239738,0.929,Eld,Low,3.48,,,
23,7/30/2023 13:59,3.56,18.567,13.885565,175.351994,0.928,Eld,Low,4.21,,,
24,7/30/2023 14:14,3.56,18.197,13.466194,168.857963,0.929,Eld,Low,4.93,,,
25,7/30/2023 14:29,3.56,18.197,13.439974,168.529178,0.929,Eld,Low,5.64,,,
26,7/30/2023 14:44,3.56,18.088,13.581,169.941874,0.93,Eld,Low,6.33,,,
27,7/30/2023 14:59,3.56,18.256,13.726905,172.32177,0.93,Eld,Low,7,,,
28,7/30/2023 15:14,3.56,18.458,13.925926,175.496556,0.93,Eld,Low,7.63,,,
29,7/30/2023 15:29,3.56,18.701,13.90403,176.033511,0.929,Eld,Low,8.22,,,
30,7/30/2023 15:44,3.56,18.181,13.851598,173.637442,0.928,Eld,Low,8.77,,,
31,7/30/2023 15:59,3.56,17.363,13.895136,171.455118,0.929,Eld,Low,9.27,,,
32,7/30/2023 16:14,3.56,16.779,12.738778,155.404733,0.928,Eld,Low,9.71,,,
33,7/30/2023 16:29,3.56,16.499,12.225137,148.319858,0.93,Eld,Low,10.11,,,
34,7/30/2023 16:44,3.56,16.61,12.267463,149.159006,0.929,Eld,Low,10.45,,,
35,7/30/2023 16:59,3.56,16.423,11.84079,143.441683,0.929,Eld,Low,10.75,,,
36,7/30/2023 17:14,3.56,16.304,11.374863,137.473841,0.928,Eld,Low,10.99,,,
37,7/30/2023 17:29,3.56,16.296,11.363773,137.318085,0.929,Eld,Low,11.19,,,
38,7/30/2023 17:44,3.56,16.125,11.038099,132.931796,0.928,Eld,Low,11.34,,,
39,7/30/2023 17:59,3.56,16.04,10.660674,128.170098,0.928,Eld,Low,11.45,,,
40,7/30/2023 18:14,3.56,15.972,10.46067,125.595691,0.928,Eld,Low,11.51,,,
41,7/30/2023 18:29,3.56,15.921,10.2719,123.204183,0.928,Eld,Low,11.53,,,
42,7/30/2023 18:44,3.56,15.844,10.063406,120.518535,0.928,Eld,Low,11.51,,,
43,7/30/2023 18:59,3.56,15.801,9.93635,118.894976,0.928,Eld,Low,11.45,,,
44,7/30/2023 19:14,3.56,15.767,9.759685,116.701898,0.928,Eld,Low,11.35,,,
45,7/30/2023 19:29,3.56,15.742,9.605915,114.805909,0.928,Eld,Low,11.22,,,
46,7/30/2023 19:44,3.56,15.716,9.490923,113.372712,0.928,Eld,Low,11.06,,,
47,7/30/2023 19:59,3.55,15.648,9.452114,112.755827,0.928,Eld,Low,10.87,,,
48,7/30/2023 20:14,3.55,15.622,9.22756,110.019881,0.927,Eld,Low,10.66,,,
49,7/30/2023 20:29,3.55,15.579,9.286022,110.621716,0.928,Eld,Low,10.43,,,
50,7/30/2023 20:44,3.55,15.545,9.238393,109.979443,0.928,Eld,Low,10.19,,,
51,7/30/2023 20:59,3.55,15.545,9.170965,109.176747,0.928,Eld,Low,9.94,,,
52,7/30/2023 21:14,3.55,15.545,9.143152,108.845634,0.927,Eld,Low,9.7,,,
53,7/30/2023 21:29,3.55,15.545,9.121238,108.584758,0.927,Eld,Low,9.45,,,
54,7/30/2023 21:44,3.55,15.545,8.999869,107.139904,0.927,Eld,Low,9.22,,,
