#,"Date Time, GMT-07:00",Temp_F ,Temp_C,"Intensity, lum/ft² ",Site,Elevation
1,5/18/2023 10:00,75.312,24.06222222,104,Chelsea Eld,High
2,5/18/2023 10:15,74.619,23.67722222,208,Chelsea Eld,High
3,5/18/2023 10:30,73.753,23.19611111,272,Chelsea Eld,High
4,5/18/2023 10:45,81.09,27.27222222,1216,Chelsea Eld,High
5,5/18/2023 11:00,81.621,27.56722222,1216,Chelsea Eld,High
6,5/18/2023 11:15,83.399,28.555,1280,Chelsea Eld,High
7,5/18/2023 11:30,84.654,29.25222222,1280,Chelsea Eld,High
8,5/18/2023 11:45,68.934,20.51888889,704,Chelsea Eld,High
9,5/18/2023 12:00,68.592,20.32888889,400,Chelsea Eld,High
10,5/18/2023 12:15,68.934,20.51888889,320,Chelsea Eld,High
11,5/18/2023 12:30,69.449,20.805,320,Chelsea Eld,High
12,5/18/2023 12:45,68.592,20.32888889,272,Chelsea Eld,High
13,5/18/2023 13:00,68.934,20.51888889,184,Chelsea Eld,High
14,5/18/2023 13:15,69.449,20.805,208,Chelsea Eld,High
15,5/18/2023 13:30,73.753,23.19611111,77,Chelsea Eld,High
16,5/18/2023 13:45,67.05,19.47222222,384,Chelsea Eld,High
17,5/18/2023 14:00,66.022,18.90111111,400,Chelsea Eld,High
18,5/18/2023 14:15,72.545,22.525,400,Chelsea Eld,High
19,5/18/2023 14:30,68.421,20.23388889,400,Chelsea Eld,High
20,5/18/2023 14:45,63.111,17.28388889,256,Chelsea Eld,High
21,5/18/2023 15:00,61.398,16.33222222,208,Chelsea Eld,High
22,5/18/2023 15:15,60.539,15.855,184,Chelsea Eld,High
23,5/18/2023 15:30,59.508,15.28222222,152,Chelsea Eld,High
24,5/18/2023 15:45,58.476,14.70888889,117,Chelsea Eld,High
25,5/18/2023 16:00,56.923,13.84611111,99,Chelsea Eld,High
26,5/18/2023 16:15,56.23,13.46111111,77,Chelsea Eld,High
27,5/18/2023 16:30,55.711,13.17277778,83,Chelsea Eld,High
28,5/18/2023 16:45,55.537,13.07611111,60,Chelsea Eld,High
29,5/18/2023 17:00,55.537,13.07611111,52,Chelsea Eld,High
30,5/18/2023 17:15,55.189,12.88277778,50,Chelsea Eld,High
31,5/18/2023 17:30,54.842,12.69,48,Chelsea Eld,High
32,5/18/2023 17:45,54.842,12.69,40,Chelsea Eld,High
33,5/18/2023 18:00,54.842,12.69,33,Chelsea Eld,High
34,5/18/2023 18:15,54.669,12.59388889,31,Chelsea Eld,High
35,5/18/2023 18:30,54.842,12.69,25,Chelsea Eld,High
36,5/18/2023 18:45,55.884,13.26888889,17,Chelsea Eld,High
37,5/18/2023 19:00,55.364,12.98,13,Chelsea Eld,High
38,5/18/2023 19:15,55.189,12.88277778,10,Chelsea Eld,High
39,5/18/2023 19:30,55.017,12.78722222,6,Chelsea Eld,High
40,5/18/2023 19:45,54.669,12.59388889,6,Chelsea Eld,High
41,5/18/2023 20:00,54.495,12.49722222,5,Chelsea Eld,High
42,5/18/2023 20:15,54.322,12.40111111,3,Chelsea Eld,High
43,5/18/2023 20:30,54.322,12.40111111,1,Chelsea Eld,High
44,5/18/2023 20:45,54.322,12.40111111,0,Chelsea Eld,High
