Date	ODO % sat	ODO mg/L	pH	Temp °C	Salinity (PSU)
6/7/2023 14:00	158.8	12.87	8.35	17.055	29
6/7/2023 14:15	168.8	13.63	8.4	17.254	28.97
6/7/2023 15:45	180.7	14.37	8.46	18.013	29
6/7/2023 16:00	178.2	14.21	8.45	17.918	28.99
6/7/2023 16:15	175.1	14.07	8.44	17.489	29
6/7/2023 16:30	173.2	14.04	8.45	17.024	29.03
6/7/2023 16:45	167.3	13.78	8.42	16.203	29.04
6/7/2023 17:00	155	13.13	8.37	14.797	29.06
6/7/2023 17:15	144.8	12.43	8.32	14.141	29.09
6/7/2023 17:30	141.6	12.19	8.31	13.982	29.1
6/7/2023 17:45	139.3	12.03	8.3	13.846	29.11
6/7/2023 18:00	144.6	12.35	8.33	14.385	29.1
6/7/2023 18:15	146.5	12.51	8.34	14.41	29.1
6/7/2023 18:30	143.2	12.28	8.32	14.156	29.12
6/7/2023 18:45	141.4	12.17	8.31	14.004	29.12
6/7/2023 19:00	132.6	11.52	8.26	13.566	29.14
6/7/2023 19:15	128.6	11.2	8.23	13.443	29.15
6/7/2023 19:30	124.7	10.88	8.21	13.32	29.16
6/7/2023 19:45	126.1	10.97	8.22	13.472	29.15
6/7/2023 20:00	129	11.18	8.24	13.674	29.14
6/7/2023 20:15	133.3	11.51	8.27	13.825	29.12
6/7/2023 20:30	135.5	11.71	8.28	13.803	29.13
6/7/2023 20:45	132	11.43	8.26	13.699	29.12
6/7/2023 21:00	130.2	11.29	8.24	13.668	29.13
6/7/2023 21:15	121.2	10.55	8.2	13.466	29.13
6/7/2023 21:30	117.4	10.26	8.17	13.255	29.18
6/7/2023 21:45	117.9	10.3	8.17	13.266	29.18
6/7/2023 22:00	117.5	10.26	8.18	13.256	29.18
6/7/2023 22:15	117	10.22	8.17	13.26	29.18
6/7/2023 22:30	116.4	10.17	8.17	13.258	29.18
6/7/2023 22:45	116	10.14	8.17	13.252	29.18
6/7/2023 23:00	115.5	10.09	8.16	13.255	29.18
