#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
1,5/19/2023 13:45,65.167,18.42611111,512,Thorndyke,Ground Bag,Low
2,5/19/2023 14:00,63.968,17.76,1472,Thorndyke,Ground Bag,Low
3,5/19/2023 14:15,63.626,17.57,608,Thorndyke,Ground Bag,Low
4,5/19/2023 14:30,64.139,17.855,768,Thorndyke,Ground Bag,Low
5,5/19/2023 14:45,64.139,17.855,384,Thorndyke,Ground Bag,Low
6,5/19/2023 15:00,64.139,17.855,432,Thorndyke,Ground Bag,Low
7,5/19/2023 15:15,63.282,17.37888889,288,Thorndyke,Ground Bag,Low
8,5/19/2023 15:30,58.993,14.99611111,576,Thorndyke,Ground Bag,Low
9,5/19/2023 15:45,57.096,13.94222222,480,Thorndyke,Ground Bag,Low
10,5/19/2023 16:00,58.131,14.51722222,512,Thorndyke,Ground Bag,Low
11,5/19/2023 16:15,58.476,14.70888889,384,Thorndyke,Ground Bag,Low
12,5/19/2023 16:30,57.958,14.42111111,464,Thorndyke,Ground Bag,Low
13,5/19/2023 16:45,57.785,14.325,320,Thorndyke,Ground Bag,Low
14,5/19/2023 17:00,57.785,14.325,272,Thorndyke,Ground Bag,Low
15,5/19/2023 17:15,58.647,14.80388889,224,Thorndyke,Ground Bag,Low
16,5/19/2023 17:30,58.476,14.70888889,168,Thorndyke,Ground Bag,Low
17,5/19/2023 17:45,58.647,14.80388889,168,Thorndyke,Ground Bag,Low
18,5/19/2023 18:00,58.647,14.80388889,152,Thorndyke,Ground Bag,Low
19,5/19/2023 18:15,58.303,14.61277778,108,Thorndyke,Ground Bag,Low
20,5/19/2023 18:30,57.785,14.325,92,Thorndyke,Ground Bag,Low
21,5/19/2023 18:45,57.614,14.23,76,Thorndyke,Ground Bag,Low
22,5/19/2023 19:00,57.785,14.325,54,Thorndyke,Ground Bag,Low
23,5/19/2023 19:15,57.958,14.42111111,46,Thorndyke,Ground Bag,Low
24,5/19/2023 19:30,57.958,14.42111111,35,Thorndyke,Ground Bag,Low
