#,"Date Time, GMT-07:00",Temp_F ,Temp_C,Light lum/ft2,Site,Method,Elevation
1,5/19/2023 15:15,65.68,18.71111111,136,Thorndyke,Flip bag,upper
2,5/19/2023 15:30,65.167,18.42611111,127,Thorndyke,Flip bag,upper
3,5/19/2023 15:45,64.652,18.14,124,Thorndyke,Flip bag,upper
4,5/19/2023 16:00,64.652,18.14,152,Thorndyke,Flip bag,upper
5,5/19/2023 16:15,64.825,18.23611111,109,Thorndyke,Flip bag,upper
6,5/19/2023 16:30,64.652,18.14,95,Thorndyke,Flip bag,upper
7,5/19/2023 16:45,64.481,18.045,93,Thorndyke,Flip bag,upper
8,5/19/2023 17:00,64.139,17.855,77,Thorndyke,Flip bag,upper
9,5/19/2023 17:15,63.968,17.76,83,Thorndyke,Flip bag,upper
10,5/19/2023 17:30,61.398,16.33222222,69,Thorndyke,Flip bag,upper
11,5/19/2023 17:45,59.508,15.28222222,56,Thorndyke,Flip bag,upper
12,5/19/2023 18:00,59.68,15.37777778,52,Thorndyke,Flip bag,upper
13,5/19/2023 18:15,59.851,15.47277778,41,Thorndyke,Flip bag,upper
14,5/19/2023 18:30,59.851,15.47277778,38,Thorndyke,Flip bag,upper
15,5/19/2023 18:45,59.68,15.37777778,32,Thorndyke,Flip bag,upper
16,5/19/2023 19:00,59.337,15.18722222,27,Thorndyke,Flip bag,upper
17,5/19/2023 19:15,58.82,14.9,26,Thorndyke,Flip bag,upper
18,5/19/2023 19:30,58.476,14.70888889,18,Thorndyke,Flip bag,upper
19,5/19/2023 19:45,58.476,14.70888889,17,Thorndyke,Flip bag,upper
20,5/19/2023 20:00,58.647,14.80388889,10,Thorndyke,Flip bag,upper
21,5/19/2023 20:15,58.303,14.61277778,4,Thorndyke,Flip bag,upper
22,5/19/2023 20:30,58.131,14.51722222,1,Thorndyke,Flip bag,upper
23,5/19/2023 20:45,57.958,14.42111111,0,Thorndyke,Flip bag,upper
24,5/19/2023 21:00,57.958,14.42111111,0,Thorndyke,Flip bag,upper
25,5/19/2023 21:15,58.131,14.51722222,0,Thorndyke,Flip bag,upper
26,5/19/2023 21:30,58.131,14.51722222,0,Thorndyke,Flip bag,upper
27,5/19/2023 21:45,58.476,14.70888889,0,Thorndyke,Flip bag,upper
28,5/19/2023 22:00,59.164,15.09111111,0,Thorndyke,Flip bag,upper
29,5/19/2023 22:15,58.993,14.99611111,0,Thorndyke,Flip bag,upper
30,5/19/2023 22:30,59.68,15.37777778,0,Thorndyke,Flip bag,upper
31,5/19/2023 22:45,59.68,15.37777778,0,Thorndyke,Flip bag,upper
32,5/19/2023 23:00,59.68,15.37777778,0,Thorndyke,Flip bag,upper
33,5/19/2023 23:15,59.508,15.28222222,0,Thorndyke,Flip bag,upper
34,5/19/2023 23:30,59.508,15.28222222,0,Thorndyke,Flip bag,upper
35,5/19/2023 23:45,59.337,15.18722222,0,Thorndyke,Flip bag,upper
36,5/20/2023 0:00,59.164,15.09111111,0,Thorndyke,Flip bag,upper
37,5/20/2023 0:15,59.164,15.09111111,0,Thorndyke,Flip bag,upper
38,5/20/2023 0:30,58.993,14.99611111,0,Thorndyke,Flip bag,upper
39,5/20/2023 0:45,58.993,14.99611111,0,Thorndyke,Flip bag,upper
40,5/20/2023 1:00,59.164,15.09111111,0,Thorndyke,Flip bag,upper
41,5/20/2023 1:15,59.337,15.18722222,0,Thorndyke,Flip bag,upper
42,5/20/2023 1:30,59.164,15.09111111,0,Thorndyke,Flip bag,upper
43,5/20/2023 1:45,58.476,14.70888889,0,Thorndyke,Flip bag,upper
44,5/20/2023 2:00,58.476,14.70888889,0,Thorndyke,Flip bag,upper
45,5/20/2023 2:15,57.785,14.325,0,Thorndyke,Flip bag,upper
46,5/20/2023 2:30,57.441,14.13388889,0,Thorndyke,Flip bag,upper
47,5/20/2023 2:45,57.096,13.94222222,0,Thorndyke,Flip bag,upper
48,5/20/2023 3:00,56.923,13.84611111,0,Thorndyke,Flip bag,upper
49,5/20/2023 3:15,56.404,13.55777778,0,Thorndyke,Flip bag,upper
50,5/20/2023 3:30,56.404,13.55777778,0,Thorndyke,Flip bag,upper
51,5/20/2023 3:45,56.404,13.55777778,0,Thorndyke,Flip bag,upper
52,5/20/2023 4:00,56.23,13.46111111,0,Thorndyke,Flip bag,upper
53,5/20/2023 4:15,56.577,13.65388889,0,Thorndyke,Flip bag,upper
54,5/20/2023 4:30,56.577,13.65388889,0,Thorndyke,Flip bag,upper
55,5/20/2023 4:45,56.923,13.84611111,0,Thorndyke,Flip bag,upper
56,5/20/2023 5:00,56.923,13.84611111,0,Thorndyke,Flip bag,upper
57,5/20/2023 5:15,56.923,13.84611111,0,Thorndyke,Flip bag,upper
58,5/20/2023 5:30,57.096,13.94222222,0,Thorndyke,Flip bag,upper
59,5/20/2023 5:45,57.096,13.94222222,2,Thorndyke,Flip bag,upper
60,5/20/2023 6:00,57.096,13.94222222,7,Thorndyke,Flip bag,upper
61,5/20/2023 6:15,57.096,13.94222222,12,Thorndyke,Flip bag,upper
62,5/20/2023 6:30,56.923,13.84611111,27,Thorndyke,Flip bag,upper
63,5/20/2023 6:45,56.923,13.84611111,40,Thorndyke,Flip bag,upper
64,5/20/2023 7:00,57.268,14.03777778,83,Thorndyke,Flip bag,upper
65,5/20/2023 7:15,57.614,14.23,128,Thorndyke,Flip bag,upper
66,5/20/2023 7:30,58.131,14.51722222,144,Thorndyke,Flip bag,upper
67,5/20/2023 7:45,58.303,14.61277778,256,Thorndyke,Flip bag,upper
68,5/20/2023 8:00,58.647,14.80388889,496,Thorndyke,Flip bag,upper
69,5/20/2023 8:15,58.82,14.9,672,Thorndyke,Flip bag,upper
70,5/20/2023 8:30,58.82,14.9,768,Thorndyke,Flip bag,upper
71,5/20/2023 8:45,58.993,14.99611111,800,Thorndyke,Flip bag,upper
72,5/20/2023 9:00,58.82,14.9,768,Thorndyke,Flip bag,upper
73,5/20/2023 9:15,59.68,15.37777778,384,Thorndyke,Flip bag,upper
74,5/20/2023 9:30,60.539,15.855,448,Thorndyke,Flip bag,upper
75,5/20/2023 9:45,61.227,16.23722222,464,Thorndyke,Flip bag,upper
76,5/20/2023 10:00,62.083,16.71277778,576,Thorndyke,Flip bag,upper
77,5/20/2023 10:15,62.769,17.09388889,512,Thorndyke,Flip bag,upper
78,5/20/2023 10:30,63.282,17.37888889,576,Thorndyke,Flip bag,upper
79,5/20/2023 10:45,63.797,17.665,576,Thorndyke,Flip bag,upper
80,5/20/2023 11:00,64.825,18.23611111,608,Thorndyke,Flip bag,upper
81,5/20/2023 11:15,65.68,18.71111111,704,Thorndyke,Flip bag,upper
82,5/20/2023 11:30,65.68,18.71111111,576,Thorndyke,Flip bag,upper
83,5/20/2023 11:45,66.193,18.99611111,576,Thorndyke,Flip bag,upper
84,5/20/2023 12:00,67.392,19.66222222,672,Thorndyke,Flip bag,upper
85,5/20/2023 12:15,68.077,20.04277778,896,Thorndyke,Flip bag,upper
86,5/20/2023 12:30,69.449,20.805,1024,Thorndyke,Flip bag,upper
87,5/20/2023 12:45,70.651,21.47277778,1152,Thorndyke,Flip bag,upper
88,5/20/2023 13:00,70.824,21.56888889,1344,Thorndyke,Flip bag,upper
89,5/20/2023 13:15,70.651,21.47277778,1536,Thorndyke,Flip bag,upper
90,5/20/2023 13:30,70.824,21.56888889,1600,Thorndyke,Flip bag,upper
91,5/20/2023 13:45,70.995,21.66388889,1920,Thorndyke,Flip bag,upper
92,5/20/2023 14:00,70.308,21.28222222,1920,Thorndyke,Flip bag,upper
93,5/20/2023 14:15,70.308,21.28222222,2048,Thorndyke,Flip bag,upper
94,5/20/2023 14:30,77.574,25.31888889,608,Thorndyke,Flip bag,upper
95,5/20/2023 14:45,78.624,25.90222222,704,Thorndyke,Flip bag,upper
96,5/20/2023 15:00,76.181,24.545,864,Thorndyke,Flip bag,upper
97,5/20/2023 15:15,74.098,23.38777778,480,Thorndyke,Flip bag,upper
98,5/20/2023 15:30,70.995,21.66388889,480,Thorndyke,Flip bag,upper
99,5/20/2023 15:45,69.107,20.615,256,Thorndyke,Flip bag,upper
100,5/20/2023 16:00,68.421,20.23388889,192,Thorndyke,Flip bag,upper
101,5/20/2023 16:15,67.221,19.56722222,192,Thorndyke,Flip bag,upper
102,5/20/2023 16:30,66.366,19.09222222,168,Thorndyke,Flip bag,upper
103,5/20/2023 16:45,65.509,18.61611111,152,Thorndyke,Flip bag,upper
104,5/20/2023 17:00,64.825,18.23611111,119,Thorndyke,Flip bag,upper
105,5/20/2023 17:15,63.797,17.665,107,Thorndyke,Flip bag,upper
106,5/20/2023 17:30,61.741,16.52277778,87,Thorndyke,Flip bag,upper
107,5/20/2023 17:45,60.368,15.76,70,Thorndyke,Flip bag,upper
108,5/20/2023 18:00,58.993,14.99611111,53,Thorndyke,Flip bag,upper
109,5/20/2023 18:15,58.303,14.61277778,48,Thorndyke,Flip bag,upper
110,5/20/2023 18:30,57.958,14.42111111,43,Thorndyke,Flip bag,upper
111,5/20/2023 18:45,57.614,14.23,37,Thorndyke,Flip bag,upper
112,5/20/2023 19:00,57.441,14.13388889,32,Thorndyke,Flip bag,upper
113,5/20/2023 19:15,57.441,14.13388889,25,Thorndyke,Flip bag,upper
114,5/20/2023 19:30,57.441,14.13388889,13,Thorndyke,Flip bag,upper
115,5/20/2023 19:45,57.268,14.03777778,8,Thorndyke,Flip bag,upper
116,5/20/2023 20:00,57.096,13.94222222,5,Thorndyke,Flip bag,upper
117,5/20/2023 20:15,57.268,14.03777778,4,Thorndyke,Flip bag,upper
118,5/20/2023 20:30,57.096,13.94222222,1,Thorndyke,Flip bag,upper
119,5/20/2023 20:45,57.268,14.03777778,0,Thorndyke,Flip bag,upper
120,5/20/2023 21:00,56.923,13.84611111,0,Thorndyke,Flip bag,upper
121,5/20/2023 21:15,57.096,13.94222222,0,Thorndyke,Flip bag,upper
122,5/20/2023 21:30,57.614,14.23,0,Thorndyke,Flip bag,upper
123,5/20/2023 21:45,57.441,14.13388889,0,Thorndyke,Flip bag,upper
124,5/20/2023 22:00,57.268,14.03777778,0,Thorndyke,Flip bag,upper
125,5/20/2023 22:15,57.096,13.94222222,0,Thorndyke,Flip bag,upper
126,5/20/2023 22:30,57.096,13.94222222,0,Thorndyke,Flip bag,upper
127,5/20/2023 22:45,57.096,13.94222222,0,Thorndyke,Flip bag,upper
128,5/20/2023 23:00,56.923,13.84611111,0,Thorndyke,Flip bag,upper
129,5/20/2023 23:15,56.923,13.84611111,0,Thorndyke,Flip bag,upper
130,5/20/2023 23:30,56.75,13.75,0,Thorndyke,Flip bag,upper
131,5/20/2023 23:45,56.577,13.65388889,0,Thorndyke,Flip bag,upper
132,5/21/2023 0:00,56.577,13.65388889,0,Thorndyke,Flip bag,upper
133,5/21/2023 0:15,56.23,13.46111111,0,Thorndyke,Flip bag,upper
134,5/21/2023 0:30,56.057,13.365,0,Thorndyke,Flip bag,upper
135,5/21/2023 0:45,55.884,13.26888889,0,Thorndyke,Flip bag,upper
136,5/21/2023 1:00,55.711,13.17277778,0,Thorndyke,Flip bag,upper
137,5/21/2023 1:15,55.711,13.17277778,0,Thorndyke,Flip bag,upper
138,5/21/2023 1:30,55.711,13.17277778,0,Thorndyke,Flip bag,upper
139,5/21/2023 1:45,55.537,13.07611111,0,Thorndyke,Flip bag,upper
140,5/21/2023 2:00,55.537,13.07611111,0,Thorndyke,Flip bag,upper
141,5/21/2023 2:15,55.537,13.07611111,0,Thorndyke,Flip bag,upper
142,5/21/2023 2:30,55.537,13.07611111,0,Thorndyke,Flip bag,upper
143,5/21/2023 2:45,55.537,13.07611111,0,Thorndyke,Flip bag,upper
144,5/21/2023 3:00,55.537,13.07611111,0,Thorndyke,Flip bag,upper
145,5/21/2023 3:15,55.364,12.98,0,Thorndyke,Flip bag,upper
146,5/21/2023 3:30,55.364,12.98,0,Thorndyke,Flip bag,upper
147,5/21/2023 3:45,55.189,12.88277778,0,Thorndyke,Flip bag,upper
148,5/21/2023 4:00,55.017,12.78722222,0,Thorndyke,Flip bag,upper
149,5/21/2023 4:15,55.189,12.88277778,0,Thorndyke,Flip bag,upper
150,5/21/2023 4:30,55.189,12.88277778,0,Thorndyke,Flip bag,upper
151,5/21/2023 4:45,55.017,12.78722222,0,Thorndyke,Flip bag,upper
152,5/21/2023 5:00,55.189,12.88277778,0,Thorndyke,Flip bag,upper
153,5/21/2023 5:15,55.189,12.88277778,0,Thorndyke,Flip bag,upper
154,5/21/2023 5:30,55.364,12.98,0,Thorndyke,Flip bag,upper
155,5/21/2023 5:45,55.364,12.98,0,Thorndyke,Flip bag,upper
156,5/21/2023 6:00,55.364,12.98,0,Thorndyke,Flip bag,upper
157,5/21/2023 6:15,55.364,12.98,1,Thorndyke,Flip bag,upper
158,5/21/2023 6:30,55.537,13.07611111,1,Thorndyke,Flip bag,upper
159,5/21/2023 6:45,55.537,13.07611111,2,Thorndyke,Flip bag,upper
160,5/21/2023 7:00,55.537,13.07611111,4,Thorndyke,Flip bag,upper
161,5/21/2023 7:15,55.537,13.07611111,4,Thorndyke,Flip bag,upper
162,5/21/2023 7:30,55.537,13.07611111,2,Thorndyke,Flip bag,upper
163,5/21/2023 7:45,55.711,13.17277778,11,Thorndyke,Flip bag,upper
164,5/21/2023 8:00,55.711,13.17277778,15,Thorndyke,Flip bag,upper
165,5/21/2023 8:15,56.057,13.365,30,Thorndyke,Flip bag,upper
166,5/21/2023 8:30,56.23,13.46111111,256,Thorndyke,Flip bag,upper
167,5/21/2023 8:45,56.057,13.365,75,Thorndyke,Flip bag,upper
168,5/21/2023 9:00,56.923,13.84611111,160,Thorndyke,Flip bag,upper
169,5/21/2023 9:15,57.268,14.03777778,288,Thorndyke,Flip bag,upper
170,5/21/2023 9:30,57.268,14.03777778,400,Thorndyke,Flip bag,upper
171,5/21/2023 9:45,56.75,13.75,352,Thorndyke,Flip bag,upper
172,5/21/2023 10:00,57.268,14.03777778,464,Thorndyke,Flip bag,upper
173,5/21/2023 10:15,58.647,14.80388889,1792,Thorndyke,Flip bag,upper
174,5/21/2023 10:30,59.851,15.47277778,1728,Thorndyke,Flip bag,upper
175,5/21/2023 10:45,61.227,16.23722222,1792,Thorndyke,Flip bag,upper
176,5/21/2023 11:00,63.282,17.37888889,2688,Thorndyke,Flip bag,upper
177,5/21/2023 11:15,64.481,18.045,2688,Thorndyke,Flip bag,upper
