"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","4.867","-","5.42"
"2023/01/01","01:00","2.912","-","3.41"
"2023/01/01","02:00","1.767","-","2.2"
"2023/01/01","03:00","1.561","-","1.99"
"2023/01/01","04:00","2.23","-","2.68"
"2023/01/01","05:00","3.576","-","3.89"
"2023/01/01","06:00","5.255","-","5.56"
"2023/01/01","07:00","6.831","-","7.23"
"2023/01/01","08:00","7.987","-","8.46"
"2023/01/01","09:00","8.612","-","9.07"
"2023/01/01","10:00","8.705","-","9.16"
"2023/01/01","11:00","8.293","-","8.91"
"2023/01/01","12:00","7.536","-","8.38"
"2023/01/01","13:00","6.791","-","7.77"
"2023/01/01","14:00","6.437","-","7.35"
"2023/01/01","15:00","6.672","-","7.45"
"2023/01/01","16:00","7.491","-","8.18"
"2023/01/01","17:00","8.763","-","9.23"
"2023/01/01","18:00","10.205","-","10.33"
"2023/01/01","19:00","11.384","-","11.26"
"2023/01/01","20:00","11.89","-","11.71"
"2023/01/01","21:00","11.535","-","11.37"
"2023/01/01","22:00","10.34","-","10.22"
"2023/01/01","23:00","8.418","-","8.4"
"2023/01/02","00:00","6.004","-","5.94"
"2023/01/02","01:00","3.542","-","3.51"
"2023/01/02","02:00","1.588","-","1.61"
"2023/01/02","03:00","0.542","-","0.64"
"2023/01/02","04:00","0.532","-","0.71"
"2023/01/02","05:00","1.482","-","1.75"
"2023/01/02","06:00","3.165","-","3.42"
"2023/01/02","07:00","5.187","-","5.56"
"2023/01/02","08:00","7.091","-","7.5"
"2023/01/02","09:00","8.572","-","9.01"
"2023/01/02","10:00","9.52","-","9.92"
"2023/01/02","11:00","9.893","-","10.26"
"2023/01/02","12:00","9.664","-","10.17"
"2023/01/02","13:00","8.971","-","9.77"
"2023/01/02","14:00","8.168","-","9.14"
"2023/01/02","15:00","7.646","-","8.67"
"2023/01/02","16:00","7.633","-","8.64"
"2023/01/02","17:00","8.177","-","9.11"
"2023/01/02","18:00","9.181","-","9.83"
"2023/01/02","19:00","10.356","-","10.63"
"2023/01/02","20:00","11.25","-","11.31"
"2023/01/02","21:00","11.466","-","11.55"
"2023/01/02","22:00","10.838","-","11.04"
"2023/01/02","23:00","9.399","-","9.76"
"2023/01/03","00:00","7.269","-","7.81"
"2023/01/03","01:00","4.715","-","5.32"
"2023/01/03","02:00","2.234","-","2.82"
"2023/01/03","03:00","0.401","-","1.04"
"2023/01/03","04:00","-0.398","-","0.21"
"2023/01/03","05:00","-0.07","-","0.64"
"2023/01/03","06:00","1.268","-","1.99"
"2023/01/03","07:00","3.324","-","3.97"
"2023/01/03","08:00","5.65","-","6.38"
"2023/01/03","09:00","7.782","-","8.54"
"2023/01/03","10:00","9.441","-","10.14"
"2023/01/03","11:00","10.526","-","11.12"
"2023/01/03","12:00","10.968","-","11.44"
"2023/01/03","13:00","10.723","-","11.23"
"2023/01/03","14:00","9.942","-","10.68"
"2023/01/03","15:00","9.007","-","9.86"
"2023/01/03","16:00","8.326","-","9.21"
"2023/01/03","17:00","8.146","-","8.9"
"2023/01/03","18:00","8.531","-","9.13"
"2023/01/03","19:00","9.375","-","9.73"
"2023/01/03","20:00","10.357","-","10.36"
"2023/01/03","21:00","11.009","-","10.77"
"2023/01/03","22:00","10.952","-","10.75"
"2023/01/03","23:00","10.059","-","10.03"
"2023/01/04","00:00","8.381","-","8.5"
"2023/01/04","01:00","6.064","-","6.3"
"2023/01/04","02:00","3.431","-","3.75"
"2023/01/04","03:00","1.037","-","1.39"
"2023/01/04","04:00","-0.534","-","-0.15"
"2023/01/04","05:00","-0.943","-","-0.5"
"2023/01/04","06:00","-0.165","-","0.37"
"2023/01/04","07:00","1.604","-","2.11"
"2023/01/04","08:00","3.999","-","4.55"
"2023/01/04","09:00","6.525","-","7.15"
"2023/01/04","10:00","8.733","-","9.35"
"2023/01/04","11:00","10.388","-","10.88"
"2023/01/04","12:00","11.41","-","11.73"
"2023/01/04","13:00","11.726","-","11.93"
"2023/01/04","14:00","11.31","-","11.55"
"2023/01/04","15:00","10.361","-","10.85"
"2023/01/04","16:00","9.302","-","10.02"
"2023/01/04","17:00","8.548","-","9.21"
"2023/01/04","18:00","8.326","-","9.05"
"2023/01/04","19:00","8.677","-","9.33"
"2023/01/04","20:00","9.454","-","9.85"
"2023/01/04","21:00","10.294","-","10.42"
"2023/01/04","22:00","10.721","-","10.74"
"2023/01/04","23:00","10.395","-","10.55"
"2023/01/05","00:00","9.235","-","9.59"
"2023/01/05","01:00","7.325","-","7.77"
"2023/01/05","02:00","4.856","-","5.37"
"2023/01/05","03:00","2.225","-","2.8"
"2023/01/05","04:00","0.039","-","0.59"
"2023/01/05","05:00","-1.138","-","-0.59"
"2023/01/05","06:00","-1.05","-","-0.46"
"2023/01/05","07:00","0.226","-","1"
"2023/01/05","08:00","2.401","-","3.2"
"2023/01/05","09:00","5.037","-","6"
"2023/01/05","10:00","7.62","-","8.73"
"2023/01/05","11:00","9.738","-","10.82"
"2023/01/05","12:00","11.216","-","12.31"
"2023/01/05","13:00","12.006","-","12.96"
"2023/01/05","14:00","12.057","-","12.85"
"2023/01/05","15:00","11.39","-","12.31"
"2023/01/05","16:00","10.275","-","11.41"
"2023/01/05","17:00","9.169","-","10.4"
"2023/01/05","18:00","8.461","-","9.67"
"2023/01/05","19:00","8.325","-","9.59"
"2023/01/05","20:00","8.742","-","9.96"
"2023/01/05","21:00","9.508","-","10.53"
"2023/01/05","22:00","10.221","-","11.01"
"2023/01/05","23:00","10.418","-","11.25"
"2023/01/06","00:00","9.814","-","10.77"
"2023/01/06","01:00","8.386","-","9.55"
"2023/01/06","02:00","6.261","-","7.5"
"2023/01/06","03:00","3.694","-","4.89"
"2023/01/06","04:00","1.161","-","2.32"
"2023/01/06","05:00","-0.701","-","0.37"
"2023/01/06","06:00","-1.383","-","-0.42"
"2023/01/06","07:00","-0.748","-","0.15"
"2023/01/06","08:00","1.008","-","1.85"
"2023/01/06","09:00","3.504","-","4.24"
"2023/01/06","10:00","6.252","-","6.98"
"2023/01/06","11:00","8.744","-","9.48"
"2023/01/06","12:00","10.63","-","11.29"
"2023/01/06","13:00","11.799","-","12.43"
"2023/01/06","14:00","12.246","-","12.68"
"2023/01/06","15:00","11.961","-","12.3"
"2023/01/06","16:00","11.039","-","11.54"
"2023/01/06","17:00","9.823","-","10.45"
"2023/01/06","18:00","8.779","-","9.43"
"2023/01/06","19:00","8.234","-","8.94"
"2023/01/06","20:00","8.277","-","9.18"
"2023/01/06","21:00","8.81","-","9.75"
"2023/01/06","22:00","9.575","-","10.42"
"2023/01/06","23:00","10.146","-","11.06"
"2023/01/07","00:00","10.094","-","11.15"
"2023/01/07","01:00","9.205","-","10.54"
"2023/01/07","02:00","7.516","-","8.91"
"2023/01/07","03:00","5.213","-","6.64"
"2023/01/07","04:00","2.622","-","3.93"
"2023/01/07","05:00","0.288","-","1.46"
"2023/01/07","06:00","-1.149","-","-0.08"
"2023/01/07","07:00","-1.279","-","-0.41"
"2023/01/07","08:00","-0.104","-","0.7"
"2023/01/07","09:00","2.059","-","2.7"
"2023/01/07","10:00","4.761","-","5.44"
"2023/01/07","11:00","7.488","-","8.25"
"2023/01/07","12:00","9.766","-","10.62"
"2023/01/07","13:00","11.318","-","12.2"
"2023/01/07","14:00","12.099","-","13.03"
"2023/01/07","15:00","12.151","-","13.13"
"2023/01/07","16:00","11.523","-","12.54"
"2023/01/07","17:00","10.396","-","11.63"
"2023/01/07","18:00","9.171","-","10.46"
"2023/01/07","19:00","8.291","-","9.55"
"2023/01/07","20:00","7.989","-","9.23"
"2023/01/07","21:00","8.248","-","9.53"
"2023/01/07","22:00","8.897","-","10.06"
"2023/01/07","23:00","9.633","-","10.64"
"2023/01/08","00:00","10.031","-","11.03"
"2023/01/08","01:00","9.714","-","10.82"
"2023/01/08","02:00","8.543","-","9.76"
"2023/01/08","03:00","6.625","-","7.94"
"2023/01/08","04:00","4.207","-","5.47"
"2023/01/08","05:00","1.687","-","2.82"
"2023/01/08","06:00","-0.342","-","0.7"
"2023/01/08","07:00","-1.279","-","-0.28"
"2023/01/08","08:00","-0.844","-","0.15"
"2023/01/08","09:00","0.814","-","1.78"
"2023/01/08","10:00","3.28","-","4.23"
"2023/01/08","11:00","6.061","-","7.12"
"2023/01/08","12:00","8.653","-","9.79"
"2023/01/08","13:00","10.628","-","11.78"
"2023/01/08","14:00","11.784","-","13.05"
"2023/01/08","15:00","12.141","-","13.47"
"2023/01/08","16:00","11.792","-","13.2"
"2023/01/08","17:00","10.854","-","12.39"
"2023/01/08","18:00","9.594","-","11.24"
"2023/01/08","19:00","8.45","-","10"
"2023/01/08","20:00","7.803","-","9.3"
"2023/01/08","21:00","7.771","-","9.24"
"2023/01/08","22:00","8.235","-","9.66"
"2023/01/08","23:00","8.962","-","10.27"
"2023/01/09","00:00","9.626","-","10.85"
"2023/01/09","01:00","9.821","-","11.09"
"2023/01/09","02:00","9.236","-","10.57"
"2023/01/09","03:00","7.815","-","9.21"
"2023/01/09","04:00","5.732","-","7.13"
"2023/01/09","05:00","3.293","-","4.57"
"2023/01/09","06:00","0.959","-","2.03"
"2023/01/09","07:00","-0.664","-","0.41"
"2023/01/09","08:00","-1.056","-","-0.02"
"2023/01/09","09:00","-0.084","-","0.98"
"2023/01/09","10:00","1.963","-","2.88"
"2023/01/09","11:00","4.608","-","5.51"
"2023/01/09","12:00","7.348","-","8.34"
"2023/01/09","13:00","9.707","-","10.79"
"2023/01/09","14:00","11.314","-","12.48"
"2023/01/09","15:00","12.04","-","13.44"
"2023/01/09","16:00","11.964","-","13.55"
"2023/01/09","17:00","11.235","-","12.94"
"2023/01/09","18:00","10.043","-","11.95"
"2023/01/09","19:00","8.726","-","10.65"
"2023/01/09","20:00","7.727","-","9.57"
"2023/01/09","21:00","7.341","-","9.01"
"2023/01/09","22:00","7.562","-","9.13"
"2023/01/09","23:00","8.184","-","9.75"
"2023/01/10","00:00","8.936","-","10.4"
"2023/01/10","01:00","9.488","-","10.91"
"2023/01/10","02:00","9.473","-","10.99"
"2023/01/10","03:00","8.65","-","10.26"
"2023/01/10","04:00","7.047","-","8.79"
"2023/01/10","05:00","4.9","-","6.65"
"2023/01/10","06:00","2.568","-","4.11"
"2023/01/10","07:00","0.543","-","1.98"
"2023/01/10","08:00","-0.592","-","0.82"
"2023/01/10","09:00","-0.431","-","0.97"
"2023/01/10","10:00","1.001","-","2.29"
"2023/01/10","11:00","3.314","-","4.39"
"2023/01/10","12:00","6","-","7.1"
"2023/01/10","13:00","8.581","-","9.77"
"2023/01/10","14:00","10.62","-","11.75"
"2023/01/10","15:00","11.81","-","13.01"
"2023/01/10","16:00","12.085","-","13.4"
"2023/01/10","17:00","11.587","-","13.02"
"2023/01/10","18:00","10.516","-","12.16"
"2023/01/10","19:00","9.132","-","10.93"
"2023/01/10","20:00","7.824","-","9.52"
"2023/01/10","21:00","7.007","-","8.62"
"2023/01/10","22:00","6.872","-","8.45"
"2023/01/10","23:00","7.3","-","8.76"
"2023/01/11","00:00","8.023","-","9.3"
"2023/01/11","01:00","8.758","-","9.94"
"2023/01/11","02:00","9.188","-","10.33"
"2023/01/11","03:00","8.989","-","10.14"
"2023/01/11","04:00","7.999","-","9.11"
"2023/01/11","05:00","6.323","-","7.45"
"2023/01/11","06:00","4.25","-","5.36"
"2023/01/11","07:00","2.165","-","3.15"
"2023/01/11","08:00","0.561","-","1.53"
"2023/01/11","09:00","-0.043","-","1.01"
"2023/01/11","10:00","0.621","-","1.72"
"2023/01/11","11:00","2.392","-","3.37"
"2023/01/11","12:00","4.815","-","5.66"
"2023/01/11","13:00","7.397","-","8.31"
"2023/01/11","14:00","9.703","-","10.61"
"2023/01/11","15:00","11.345","-","12.11"
"2023/01/11","16:00","12.077","-","12.8"
"2023/01/11","17:00","11.899","-","12.69"
"2023/01/11","18:00","11.003","-","11.97"
"2023/01/11","19:00","9.643","-","10.86"
"2023/01/11","20:00","8.131","-","9.4"
"2023/01/11","21:00","6.88","-","8.11"
"2023/01/11","22:00","6.254","-","7.47"
"2023/01/11","23:00","6.337","-","7.51"
"2023/01/12","00:00","6.92","-","7.99"
"2023/01/12","01:00","7.705","-","8.68"
"2023/01/12","02:00","8.413","-","9.31"
"2023/01/12","03:00","8.748","-","9.66"
"2023/01/12","04:00","8.437","-","9.29"
"2023/01/12","05:00","7.394","-","8.23"
"2023/01/12","06:00","5.788","-","6.68"
"2023/01/12","07:00","3.937","-","4.77"
"2023/01/12","08:00","2.226","-","2.98"
"2023/01/12","09:00","1.11","-","1.96"
"2023/01/12","10:00","1.012","-","2"
"2023/01/12","11:00","2.065","-","3.16"
"2023/01/12","12:00","4.006","-","5.01"
"2023/01/12","13:00","6.366","-","7.41"
"2023/01/12","14:00","8.7","-","9.91"
"2023/01/12","15:00","10.629","-","11.81"
"2023/01/12","16:00","11.815","-","12.98"
"2023/01/12","17:00","12.07","-","13.26"
"2023/01/12","18:00","11.456","-","12.8"
"2023/01/12","19:00","10.209","-","11.82"
"2023/01/12","20:00","8.619","-","10.34"
"2023/01/12","21:00","7.034","-","8.72"
"2023/01/12","22:00","5.867","-","7.54"
"2023/01/12","23:00","5.418","-","7"
"2023/01/13","00:00","5.679","-","7.09"
"2023/01/13","01:00","6.384","-","7.57"
"2023/01/13","02:00","7.227","-","8.21"
"2023/01/13","03:00","7.944","-","8.87"
"2023/01/13","04:00","8.26","-","9.17"
"2023/01/13","05:00","7.949","-","8.87"
"2023/01/13","06:00","6.992","-","7.96"
"2023/01/13","07:00","5.604","-","6.73"
"2023/01/13","08:00","4.104","-","5.33"
"2023/01/13","09:00","2.839","-","4.11"
"2023/01/13","10:00","2.199","-","3.65"
"2023/01/13","11:00","2.503","-","4.03"
"2023/01/13","12:00","3.771","-","5.31"
"2023/01/13","13:00","5.689","-","7.15"
"2023/01/13","14:00","7.82","-","9.37"
"2023/01/13","15:00","9.789","-","11.42"
"2023/01/13","16:00","11.273","-","12.93"
"2023/01/13","17:00","11.979","-","13.58"
"2023/01/13","18:00","11.772","-","13.38"
"2023/01/13","19:00","10.765","-","12.56"
"2023/01/13","20:00","9.225","-","11.19"
"2023/01/13","21:00","7.461","-","9.29"
"2023/01/13","22:00","5.839","-","7.51"
"2023/01/13","23:00","4.758","-","6.34"
"2023/01/14","00:00","4.462","-","5.9"
"2023/01/14","01:00","4.873","-","6.12"
"2023/01/14","02:00","5.699","-","6.73"
"2023/01/14","03:00","6.643","-","7.56"
"2023/01/14","04:00","7.451","-","8.38"
"2023/01/14","05:00","7.86","-","8.84"
"2023/01/14","06:00","7.68","-","8.74"
"2023/01/14","07:00","6.947","-","8.15"
"2023/01/14","08:00","5.895","-","7.27"
"2023/01/14","09:00","4.808","-","6.29"
"2023/01/14","10:00","3.976","-","5.5"
"2023/01/14","11:00","3.712","-","5.24"
"2023/01/14","12:00","4.245","-","5.77"
"2023/01/14","13:00","5.528","-","6.97"
"2023/01/14","14:00","7.246","-","8.69"
"2023/01/14","15:00","9.026","-","10.59"
"2023/01/14","16:00","10.57","-","12.26"
"2023/01/14","17:00","11.596","-","13.33"
"2023/01/14","18:00","11.845","-","13.55"
"2023/01/14","19:00","11.224","-","12.98"
"2023/01/14","20:00","9.884","-","11.87"
"2023/01/14","21:00","8.106","-","10.13"
"2023/01/14","22:00","6.204","-","8.07"
"2023/01/14","23:00","4.553","-","6.42"
"2023/01/15","00:00","3.543","-","5.39"
"2023/01/15","01:00","3.376","-","5.16"
"2023/01/15","02:00","3.937","-","5.61"
"2023/01/15","03:00","4.927","-","6.43"
"2023/01/15","04:00","6.058","-","7.49"
"2023/01/15","05:00","7.067","-","8.51"
"2023/01/15","06:00","7.688","-","9.14"
"2023/01/15","07:00","7.759","-","9.31"
"2023/01/15","08:00","7.346","-","8.95"
"2023/01/15","09:00","6.676","-","8.45"
"2023/01/15","10:00","5.978","-","7.8"
"2023/01/15","11:00","5.473","-","7.21"
"2023/01/15","12:00","5.415","-","7.07"
"2023/01/15","13:00","5.979","-","7.52"
"2023/01/15","14:00","7.1","-","8.61"
"2023/01/15","15:00","8.501","-","10.01"
"2023/01/15","16:00","9.89","-","11.53"
"2023/01/15","17:00","11.023","-","12.81"
"2023/01/15","18:00","11.638","-","13.38"
"2023/01/15","19:00","11.493","-","13.28"
"2023/01/15","20:00","10.527","-","12.45"
"2023/01/15","21:00","8.913","-","10.99"
"2023/01/15","22:00","6.931","-","8.86"
"2023/01/15","23:00","4.895","-","6.65"
"2023/01/16","00:00","3.196","-","4.93"
"2023/01/16","01:00","2.231","-","3.96"
"2023/01/16","02:00","2.188","-","3.84"
"2023/01/16","03:00","2.934","-","4.49"
"2023/01/16","04:00","4.168","-","5.48"
"2023/01/16","05:00","5.591","-","6.88"
"2023/01/16","06:00","6.91","-","8.19"
"2023/01/16","07:00","7.838","-","9.12"
"2023/01/16","08:00","8.228","-","9.58"
"2023/01/16","09:00","8.161","-","9.62"
"2023/01/16","10:00","7.833","-","9.39"
"2023/01/16","11:00","7.411","-","8.99"
"2023/01/16","12:00","7.065","-","8.58"
"2023/01/16","13:00","7.02","-","8.43"
"2023/01/16","14:00","7.448","-","8.8"
"2023/01/16","15:00","8.302","-","9.65"
"2023/01/16","16:00","9.366","-","10.72"
"2023/01/16","17:00","10.41","-","11.78"
"2023/01/16","18:00","11.216","-","12.57"
"2023/01/16","19:00","11.511","-","12.83"
"2023/01/16","20:00","11.056","-","12.34"
"2023/01/16","21:00","9.811","-","11.16"
"2023/01/16","22:00","7.959","-","9.28"
"2023/01/16","23:00","5.773","-","6.89"
"2023/01/17","00:00","3.578","-","4.55"
"2023/01/17","01:00","1.8","-","2.84"
"2023/01/17","02:00","0.868","-","1.9"
"2023/01/17","03:00","0.97","-","1.93"
"2023/01/17","04:00","1.965","-","2.79"
"2023/01/17","05:00","3.535","-","4.19"
"2023/01/17","06:00","5.344","-","5.98"
"2023/01/17","07:00","7.045","-","7.73"
"2023/01/17","08:00","8.319","-","9.09"
"2023/01/17","09:00","9.026","-","9.9"
"2023/01/17","10:00","9.25","-","10.19"
"2023/01/17","11:00","9.147","-","10.15"
