NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Rocky Point, Eld Inlet 
State:  
Stationid: TWC1115
ReferencedToStationName: Seattle
ReferencedToStationId: 9447130
HeightOffsetLow: * 1.1
HeightOffsetHigh: * 1.31
TimeOffsetLow: 56
TimeOffsetHigh: 39
Prediction Type: Subordinate
From: 20230101 02:19 - 20231231 19:38
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2023/01/01	Sun	02:19 AM	11.44		349			H
2023/01/01	Sun	07:03 AM	7.08		216			L
2023/01/01	Sun	12:45 PM	15.58		475			H
2023/01/01	Sun	08:26 PM	0.45		14			L
2023/01/02	Mon	03:46 AM	12.96		395			H
2023/01/02	Mon	08:28 AM	8.33		254			L
2023/01/02	Mon	01:25 PM	15.05		459			H
2023/01/02	Mon	09:08 PM	-0.46		-14			L
2023/01/03	Tue	04:47 AM	14.38		438			H
2023/01/03	Tue	09:45 AM	8.95		273			L
2023/01/03	Tue	02:05 PM	14.52		443			H
2023/01/03	Tue	09:46 PM	-1.06		-32			L
2023/01/04	Wed	05:34 AM	15.36		468			H
2023/01/04	Wed	10:49 AM	9.15		279			L
2023/01/04	Wed	02:45 PM	14.05		428			H
2023/01/04	Wed	10:22 PM	-1.38		-42			L
2023/01/05	Thu	06:13 AM	15.89		484			H
2023/01/05	Thu	11:40 AM	9.13		278			L
2023/01/05	Thu	03:26 PM	13.67		417			H
2023/01/05	Thu	10:57 PM	-1.52		-46			L
2023/01/06	Fri	06:46 AM	16.05		489			H
2023/01/06	Fri	12:21 PM	9.00		274			L
2023/01/06	Fri	04:06 PM	13.39		408			H
2023/01/06	Fri	11:32 PM	-1.53		-47			L
2023/01/07	Sat	07:13 AM	16.00		488			H
2023/01/07	Sat	12:56 PM	8.79		268			L
2023/01/07	Sat	04:46 PM	13.15		401			H
2023/01/08	Sun	12:07 AM	-1.43		-44			L
2023/01/08	Sun	07:38 AM	15.90		485			H
2023/01/08	Sun	01:29 PM	8.48		258			L
2023/01/08	Sun	05:27 PM	12.89		393			H
2023/01/09	Mon	12:43 AM	-1.20		-37			L
2023/01/09	Mon	08:02 AM	15.85		483			H
2023/01/09	Mon	02:02 PM	8.07		246			L
2023/01/09	Mon	06:09 PM	12.54		382			H
2023/01/10	Tue	01:19 AM	-0.76		-23			L
2023/01/10	Tue	08:28 AM	15.85		483			H
2023/01/10	Tue	02:38 PM	7.53		230			L
2023/01/10	Tue	06:53 PM	12.06		368			H
2023/01/11	Wed	01:55 AM	-0.05		-2			L
2023/01/11	Wed	08:56 AM	15.87		484			H
2023/01/11	Wed	03:18 PM	6.83		208			L
2023/01/11	Wed	07:43 PM	11.46		349			H
2023/01/12	Thu	02:31 AM	1.00		30			L
2023/01/12	Thu	09:25 AM	15.84		483			H
2023/01/12	Thu	04:01 PM	5.96		182			L
2023/01/12	Thu	08:42 PM	10.82		330			H
2023/01/13	Fri	03:08 AM	2.40		73			L
2023/01/13	Fri	09:55 AM	15.74		480			H
2023/01/13	Fri	04:48 PM	4.90		149			L
2023/01/13	Fri	09:52 PM	10.31		314			H
2023/01/14	Sat	03:48 AM	4.07		124			L
2023/01/14	Sat	10:26 AM	15.54		474			H
2023/01/14	Sat	05:38 PM	3.67		112			L
2023/01/14	Sat	11:16 PM	10.21		311			H
2023/01/15	Sun	04:33 AM	5.91		180			L
2023/01/15	Sun	10:59 AM	15.30		466			H
2023/01/15	Sun	06:28 PM	2.31		70			L
2023/01/16	Mon	12:57 AM	10.80		329			H
2023/01/16	Mon	05:33 AM	7.69		234			L
2023/01/16	Mon	11:35 AM	15.08		460			H
2023/01/16	Mon	07:20 PM	0.86		26			L
2023/01/17	Tue	02:46 AM	12.12		369			H
2023/01/17	Tue	06:58 AM	9.10		277			L
2023/01/17	Tue	12:17 PM	14.94		455			H
2023/01/17	Tue	08:11 PM	-0.56		-17			L
2023/01/18	Wed	04:03 AM	13.67		417			H
2023/01/18	Wed	08:29 AM	9.85		300			L
2023/01/18	Wed	01:06 PM	14.93		455			H
2023/01/18	Wed	09:01 PM	-1.86		-57			L
2023/01/19	Thu	04:53 AM	14.97		456			H
2023/01/19	Thu	09:44 AM	9.99		304			L
2023/01/19	Thu	02:00 PM	15.04		458			H
2023/01/19	Thu	09:51 PM	-2.93		-89			L
2023/01/20	Fri	05:35 AM	15.90		485			H
2023/01/20	Fri	10:43 AM	9.71		296			L
2023/01/20	Fri	02:57 PM	15.21		464			H
2023/01/20	Fri	10:40 PM	-3.65		-111			L
2023/01/21	Sat	06:13 AM	16.49		503			H
2023/01/21	Sat	11:34 AM	9.15		279			L
2023/01/21	Sat	03:54 PM	15.31		467			H
2023/01/21	Sat	11:29 PM	-3.92		-119			L
2023/01/22	Sun	06:50 AM	16.84		513			H
2023/01/22	Sun	12:23 PM	8.37		255			L
2023/01/22	Sun	04:52 PM	15.20		463			H
2023/01/23	Mon	12:16 AM	-3.66		-112			L
2023/01/23	Mon	07:25 AM	17.04		519			H
2023/01/23	Mon	01:12 PM	7.39		225			L
2023/01/23	Mon	05:51 PM	14.76		450			H
2023/01/24	Tue	01:03 AM	-2.83		-86			L
2023/01/24	Tue	08:01 AM	17.13		522			H
2023/01/24	Tue	02:03 PM	6.29		192			L
2023/01/24	Tue	06:52 PM	13.99		426			H
2023/01/25	Wed	01:49 AM	-1.44		-44			L
2023/01/25	Wed	08:36 AM	17.11		522			H
2023/01/25	Wed	02:57 PM	5.11		156			L
2023/01/25	Wed	07:57 PM	12.99		396			H
2023/01/26	Thu	02:35 AM	0.43		13			L
2023/01/26	Thu	09:11 AM	16.94		516			H
2023/01/26	Thu	03:52 PM	3.95		120			L
2023/01/26	Thu	09:09 PM	11.98		365			H
2023/01/27	Fri	03:21 AM	2.63		80			L
2023/01/27	Fri	09:47 AM	16.57		505			H
2023/01/27	Fri	04:48 PM	2.88		88			L
2023/01/27	Fri	10:33 PM	11.27		344			H
2023/01/28	Sat	04:12 AM	4.94		151			L
2023/01/28	Sat	10:24 AM	15.98		487			H
2023/01/28	Sat	05:47 PM	1.96		60			L
2023/01/29	Sun	12:22 AM	11.28		344			H
2023/01/29	Sun	05:16 AM	7.07		215			L
2023/01/29	Sun	11:05 AM	15.22		464			H
2023/01/29	Sun	06:45 PM	1.20		37			L
2023/01/30	Mon	02:21 AM	12.26		374			H
2023/01/30	Mon	06:48 AM	8.64		263			L
2023/01/30	Mon	11:51 AM	14.40		439			H
2023/01/30	Mon	07:41 PM	0.59		18			L
2023/01/31	Tue	03:44 AM	13.64		416			H
2023/01/31	Tue	08:39 AM	9.25		282			L
2023/01/31	Tue	12:43 PM	13.67		417			H
2023/01/31	Tue	08:33 PM	0.14		4			L
2023/02/01	Wed	04:39 AM	14.73		449			H
2023/02/01	Wed	10:00 AM	9.14		279			L
2023/02/01	Wed	01:39 PM	13.17		401			H
2023/02/01	Wed	09:19 PM	-0.21		-6			L
2023/02/02	Thu	05:20 AM	15.36		468			H
2023/02/02	Thu	10:55 AM	8.80		268			L
2023/02/02	Thu	02:32 PM	12.94		394			H
2023/02/02	Thu	10:01 PM	-0.47		-14			L
2023/02/03	Fri	05:53 AM	15.59		475			H
2023/02/03	Fri	11:34 AM	8.44		257			L
2023/02/03	Fri	03:21 PM	12.92		394			H
2023/02/03	Fri	10:40 PM	-0.66		-20			L
2023/02/04	Sat	06:20 AM	15.58		475			H
2023/02/04	Sat	12:05 PM	8.08		246			L
2023/02/04	Sat	04:05 PM	12.98		396			H
2023/02/04	Sat	11:16 PM	-0.75		-23			L
2023/02/05	Sun	06:41 AM	15.50		472			H
2023/02/05	Sun	12:30 PM	7.67		234			L
2023/02/05	Sun	04:46 PM	13.03		397			H
2023/02/05	Sun	11:50 PM	-0.70		-21			L
2023/02/06	Mon	07:00 AM	15.48		472			H
2023/02/06	Mon	12:55 PM	7.14		218			L
2023/02/06	Mon	05:26 PM	12.99		396			H
2023/02/07	Tue	12:23 AM	-0.43		-13			L
2023/02/07	Tue	07:18 AM	15.55		474			H
2023/02/07	Tue	01:23 PM	6.47		197			L
2023/02/07	Tue	06:07 PM	12.83		391			H
2023/02/08	Wed	12:57 AM	0.13		4			L
2023/02/08	Wed	07:39 AM	15.67		478			H
2023/02/08	Wed	01:54 PM	5.66		173			L
2023/02/08	Wed	06:51 PM	12.56		383			H
2023/02/09	Thu	01:30 AM	1.03		31			L
2023/02/09	Thu	08:03 AM	15.74		480			H
2023/02/09	Thu	02:29 PM	4.74		144			L
2023/02/09	Thu	07:39 PM	12.22		372			H
2023/02/10	Fri	02:03 AM	2.27		69			L
