,Site,Month,Year,Date,S,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite
1,Chelsea,6,2023,6/6/2023,27.96,0,8.133410156,1.01E-05,294.0041901,295.0124146,294.0041901,295.0124146,294.0041901,295.0124157,0.001605172,0.000163036,0.001778279,0.002006202,2.61051772,4.096560221
2,Chelsea,6,2024,6/24/2024,28.6,0,8.317193717,6.00E-06,175.9556906,176.5591125,175.9556906,176.5591125,175.9556906,176.559113,0.001468732,0.00023026,0.001704996,0.002035314,3.673754246,5.755883959
3,Chelsea,7,2023,7/6/2023,28.4525,0,8.284416968,6.85E-06,197.7859159,198.4684472,197.7859159,198.4684472,197.7859159,198.4684478,0.001512574,0.000214913,0.001734336,0.002041016,3.422138315,5.372451506
4,Chelsea,7,2024,7/22/2024,29.06,0,7.852063118,2.32E-05,623.6126506,625.8344981,623.6126506,625.8344981,623.6126506,625.8345036,0.001844612,8.90E-05,0.001956722,0.002064223,1.400420891,2.206137993
5,Chelsea,8,2023,8/1/2023,28.98,0,8.202239699,9.13E-06,263.2960722,264.2063999,263.2960722,264.2063999,263.2960722,264.2064011,0.001576847,0.000196777,0.001782759,0.002060925,3.139835048,4.909882941
6,Chelsea,8,2023,8/29/2023,29.5,0,8.27131239,7.12E-06,200.9221766,201.6243012,200.9221766,201.6243012,200.9221766,201.6243018,0.001541223,0.000209288,0.001757633,0.002058102,3.309201678,5.187458406
7,Chelsea,10,2023,10/19/2023,29.67,0,7.533455347,5.52E-05,1390.909949,1396.016815,1390.909949,1396.016815,1390.909949,1396.016844,0.002013352,4.34E-05,0.002111911,0.002120546,0.676437432,1.068738256
8,Hood Head,6,2024,6/20/2024,29.49,0,7.979702448,1.84E-05,449.4931974,451.1609273,449.4931974,451.1609273,449.4931974,451.1609303,0.001828489,0.00010578,0.001952629,0.002090525,1.645927034,2.606738729
9,Hood Head,9,2023,9/5/2023,29.84,0,7.695028223,3.51E-05,929.9309244,933.2749923,929.9309244,933.2749923,929.9309244,933.2750055,0.001870379,6.41E-05,0.001969539,0.002029744,1.003672618,1.579513839
10,Hood Head,10,2023,10/19/2023,29.14,0,7.819035543,3.20E-05,753.7893971,756.6310999,753.7893971,756.6310999,753.7893971,756.6311109,0.001861171,7.76E-05,0.001970828,0.002054098,1.20447905,1.91424662
