"","Date.Time..GMT.07.00","DO_mgL","Temp_C","datetime","Site","date"
"1","6/5/2023 14:37",8.29,26.14,2023-06-05 14:37:00,"Thorndyke",2023-06-05
"2","6/5/2023 14:37",NA,NA,2023-06-05 14:37:00,"Thorndyke",2023-06-05
"3","6/5/2023 14:52",15.14,22.62,2023-06-05 14:52:00,"Thorndyke",2023-06-05
"4","6/5/2023 15:07",14.46,17.86,2023-06-05 15:07:00,"Thorndyke",2023-06-05
"5","6/5/2023 15:22",14.35,15.56,2023-06-05 15:22:00,"Thorndyke",2023-06-05
"6","6/5/2023 15:37",14.63,14.84,2023-06-05 15:37:00,"Thorndyke",2023-06-05
"7","6/5/2023 15:52",14.89,14.72,2023-06-05 15:52:00,"Thorndyke",2023-06-05
"8","6/5/2023 16:07",14.83,14.4,2023-06-05 16:07:00,"Thorndyke",2023-06-05
"9","6/5/2023 16:22",14.85,14.18,2023-06-05 16:22:00,"Thorndyke",2023-06-05
"10","6/5/2023 16:37",15.09,14.12,2023-06-05 16:37:00,"Thorndyke",2023-06-05
"11","6/5/2023 16:52",16.27,14.96,2023-06-05 16:52:00,"Thorndyke",2023-06-05
"12","6/5/2023 17:07",16.06,14.74,2023-06-05 17:07:00,"Thorndyke",2023-06-05
"13","6/5/2023 17:22",15.42,13.92,2023-06-05 17:22:00,"Thorndyke",2023-06-05
"14","6/5/2023 17:37",15.26,13.34,2023-06-05 17:37:00,"Thorndyke",2023-06-05
"15","6/5/2023 17:52",15.02,13.14,2023-06-05 17:52:00,"Thorndyke",2023-06-05
"16","6/5/2023 18:07",13.92,13.06,2023-06-05 18:07:00,"Thorndyke",2023-06-05
"17","6/5/2023 18:22",13.77,12.58,2023-06-05 18:22:00,"Thorndyke",2023-06-05
"18","6/5/2023 18:37",13.77,12.5,2023-06-05 18:37:00,"Thorndyke",2023-06-05
"19","6/5/2023 18:52",13.53,12.46,2023-06-05 18:52:00,"Thorndyke",2023-06-05
"20","6/5/2023 19:07",13.02,12.32,2023-06-05 19:07:00,"Thorndyke",2023-06-05
"21","6/5/2023 19:22",12.81,12.18,2023-06-05 19:22:00,"Thorndyke",2023-06-05
"22","6/5/2023 19:37",12.57,12.16,2023-06-05 19:37:00,"Thorndyke",2023-06-05
"23","6/5/2023 19:52",12.08,12.12,2023-06-05 19:52:00,"Thorndyke",2023-06-05
"24","6/5/2023 20:07",11.74,12.06,2023-06-05 20:07:00,"Thorndyke",2023-06-05
"25","6/5/2023 20:22",11.28,11.8,2023-06-05 20:22:00,"Thorndyke",2023-06-05
"26","6/5/2023 20:37",10.35,11.46,2023-06-05 20:37:00,"Thorndyke",2023-06-05
"27","6/5/2023 20:52",9.57,11.02,2023-06-05 20:52:00,"Thorndyke",2023-06-05
"28","6/5/2023 21:07",9.1,10.76,2023-06-05 21:07:00,"Thorndyke",2023-06-05
"29","6/5/2023 21:22",8.84,10.62,2023-06-05 21:22:00,"Thorndyke",2023-06-05
"30","6/5/2023 21:37",8.55,10.42,2023-06-05 21:37:00,"Thorndyke",2023-06-05
"31","6/5/2023 21:52",8.45,10.34,2023-06-05 21:52:00,"Thorndyke",2023-06-05
"32","6/5/2023 22:07",8.43,10.34,2023-06-05 22:07:00,"Thorndyke",2023-06-05
"33","6/5/2023 22:22",8.13,10.32,2023-06-05 22:22:00,"Thorndyke",2023-06-05
"34","6/5/2023 22:37",8.27,10.3,2023-06-05 22:37:00,"Thorndyke",2023-06-05
"35","6/5/2023 22:52",6.81,10.34,2023-06-05 22:52:00,"Thorndyke",2023-06-05
"36","6/5/2023 23:07",8.07,10.3,2023-06-05 23:07:00,"Thorndyke",2023-06-05
"37","6/5/2023 23:22",7.88,10.38,2023-06-05 23:22:00,"Thorndyke",2023-06-05
"38","6/5/2023 23:37",7.56,10.42,2023-06-05 23:37:00,"Thorndyke",2023-06-05
"39","6/5/2023 23:52",7.15,10.48,2023-06-05 23:52:00,"Thorndyke",2023-06-05
"40","6/6/2023 0:07",7.16,10.48,2023-06-06 00:07:00,"Thorndyke",2023-06-06
"41","6/6/2023 0:22",6.99,10.48,2023-06-06 00:22:00,"Thorndyke",2023-06-06
"42","6/6/2023 0:37",6.87,10.52,2023-06-06 00:37:00,"Thorndyke",2023-06-06
"43","6/6/2023 0:52",6.65,10.54,2023-06-06 00:52:00,"Thorndyke",2023-06-06
"44","6/6/2023 1:07",6.32,10.58,2023-06-06 01:07:00,"Thorndyke",2023-06-06
"45","6/6/2023 1:22",6.44,10.62,2023-06-06 01:22:00,"Thorndyke",2023-06-06
"46","6/6/2023 1:37",6.29,10.66,2023-06-06 01:37:00,"Thorndyke",2023-06-06
"47","6/6/2023 1:52",6.27,10.66,2023-06-06 01:52:00,"Thorndyke",2023-06-06
"48","6/6/2023 2:07",6.15,10.7,2023-06-06 02:07:00,"Thorndyke",2023-06-06
"49","6/6/2023 2:22",5.85,10.74,2023-06-06 02:22:00,"Thorndyke",2023-06-06
"50","6/6/2023 2:37",5.55,10.78,2023-06-06 02:37:00,"Thorndyke",2023-06-06
"51","6/6/2023 2:52",5.42,10.84,2023-06-06 02:52:00,"Thorndyke",2023-06-06
"52","6/6/2023 3:07",5.22,10.86,2023-06-06 03:07:00,"Thorndyke",2023-06-06
"53","6/6/2023 3:22",5.24,10.9,2023-06-06 03:22:00,"Thorndyke",2023-06-06
"54","6/6/2023 3:37",5.27,10.94,2023-06-06 03:37:00,"Thorndyke",2023-06-06
"55","6/6/2023 3:52",5.38,10.98,2023-06-06 03:52:00,"Thorndyke",2023-06-06
"56","6/6/2023 4:07",5.23,11.02,2023-06-06 04:07:00,"Thorndyke",2023-06-06
"57","6/6/2023 4:22",5.05,11.06,2023-06-06 04:22:00,"Thorndyke",2023-06-06
"58","6/6/2023 4:37",4.64,11.1,2023-06-06 04:37:00,"Thorndyke",2023-06-06
"59","6/6/2023 4:52",3.98,11.14,2023-06-06 04:52:00,"Thorndyke",2023-06-06
"60","6/6/2023 5:07",3.94,11.2,2023-06-06 05:07:00,"Thorndyke",2023-06-06
"61","6/6/2023 5:22",5,11.32,2023-06-06 05:22:00,"Thorndyke",2023-06-06
"62","6/6/2023 5:37",6.13,11.44,2023-06-06 05:37:00,"Thorndyke",2023-06-06
"63","6/6/2023 5:52",6.3,11.5,2023-06-06 05:52:00,"Thorndyke",2023-06-06
"64","6/6/2023 6:07",4.8,11.44,2023-06-06 06:07:00,"Thorndyke",2023-06-06
